counter,start,storeDLT,storeKfrags,finish
0,1650932520169,1650932530985,1650932549365,1650932558206
1,1650932559329,1650932569434,1650932575859,1650932592354
2,1650932593441,1650932605852,1650932610962,1650932617681
3,1650932618501,1650932631415,1650932636907,1650932640972
4,1650932641921,1650932667596,1650932668088,1650932670966
5,1650932671751,1650932676762,1650932677421,1650932680248
6,1650932680841,1650932684650,1650932685407,1650932688347
7,1650932689967,1650932700575,1650932703984,1650932704673
8,1650932706093,1650932714114,1650932714765,1650932717918
9,1650932717977,1650932726698,1650932727349,1650932727805
