counter,start,storeDLT,storeKfrags,finish
0,1650937087499,1650937114387,1650937125130,1650937144810
1,1650937144968,1650937156491,1650937159434,1650937160071
2,1650937161259,1650937172428,1650937179935,1650937199307
3,1650937200995,1650937221299,1650937238083,1650937238690
4,1650937238704,1650937247940,1650937248532,1650937254400
5,1650937254919,1650937268703,1650937281923,1650937297391
6,1650937298070,1650937323799,1650937331640,1650937350728
7,1650937352480,1650937378386,1650937394033,1650937398543
8,1650937399054,1650937418825,1650937423847,1650937427209
9,1650937427349,1650937458855,1650937472961,1650937489170
