counter,start,storeDLT,storeKfrags,finish
0,1650937683543,1650937705742,1650937710011,1650937721193
1,1650937721241,1650937744863,1650937748408,1650937778045
2,1650937778254,1650937801515,1650937810668,1650937821439
3,1650937822706,1650937837907,1650937864769,1650937878066
4,1650937878390,1650937913581,1650937915430,1650937942900
5,1650937944366,1650937957001,1650937957613,1650937990996
6,1650937992262,1650937998711,1650938004206,1650938039125
7,1650938039269,1650938048545,1650938063090,1650938066367
8,1650938066783,1650938090021,1650938104711,1650938124833
9,1650938124947,1650938144432,1650938158319,1650938178637
