counter,start,storeDLT,storeKfrags,finish
0,1650936550637,1650936581993,1650936592183,1650936600852
1,1650936605501,1650936610738,1650936644035,1650936644289
2,1650936646408,1650936657436,1650936663216,1650936667017
3,1650936668792,1650936675820,1650936685177,1650936685776
4,1650936686789,1650936721654,1650936737270,1650936741075
5,1650936741364,1650936763483,1650936774677,1650936775339
6,1650936775488,1650936789060,1650936790878,1650936793013
7,1650936793580,1650936802677,1650936833345,1650936836490
8,1650936839220,1650936855418,1650936859556,1650936874709
9,1650936874800,1650936883150,1650936887924,1650936897062
