counter,start,storeDLT,storeKfrags,finish
0,1650933868413,1650933888167,1650933894632,1650933911719
1,1650933911777,1650933927263,1650933937170,1650933944700
2,1650933946319,1650933973155,1650933974276,1650933975097
3,1650933976109,1650933997191,1650934002391,1650934014389
4,1650934014747,1650934025961,1650934028982,1650934041211
5,1650934041424,1650934057426,1650934069956,1650934072426
6,1650934072589,1650934078667,1650934107858,1650934110640
7,1650934112085,1650934123654,1650934126482,1650934129844
8,1650934131443,1650934143160,1650934144739,1650934145234
9,1650934145315,1650934160865,1650934174356,1650934174848
