counter,start,storeDLT,storeKfrags,finish
0,1650935418485,1650935440975,1650935445255,1650935448263
1,1650935448520,1650935472776,1650935486643,1650935501882
2,1650935502667,1650935516929,1650935525286,1650935541625
3,1650935541732,1650935568239,1650935572637,1650935584598
4,1650935584650,1650935591418,1650935603579,1650935607830
5,1650935608564,1650935640254,1650935643690,1650935650632
6,1650935650941,1650935659826,1650935675141,1650935686416
7,1650935688241,1650935714988,1650935723738,1650935730317
8,1650935732443,1650935743772,1650935749193,1650935755480
9,1650935755628,1650935760198,1650935762514,1650935763243
