counter,start,storeDLT,storeKfrags,finish
0,1650935421625,1650935447424,1650935453614,1650935463990
1,1650935464970,1650935479535,1650935493748,1650935497815
2,1650935499378,1650935509114,1650935512440,1650935527951
3,1650935528054,1650935550602,1650935557853,1650935565715
4,1650935566535,1650935586257,1650935591423,1650935598103
5,1650935599617,1650935636535,1650935649620,1650935662750
6,1650935663178,1650935686499,1650935700305,1650935706226
7,1650935706478,1650935719986,1650935726702,1650935742023
8,1650935743155,1650935772541,1650935775137,1650935792617
9,1650935793424,1650935797960,1650935801091,1650935805951
