counter,start,storeDLT,storeKfrags,finish
0,1650938417493,1650938453447,1650938455111,1650938455800
1,1650938458251,1650938468191,1650938476938,1650938477414
2,1650938478466,1650938490841,1650938511421,1650938512010
3,1650938512563,1650938534041,1650938551435,1650938572874
4,1650938573574,1650938603255,1650938605513,1650938607178
5,1650938609165,1650938625270,1650938638474,1650938638888
6,1650938640005,1650938657729,1650938658245,1650938662377
7,1650938666812,1650938681898,1650938699506,1650938710567
8,1650938711864,1650938741119,1650938749691,1650938750024
9,1650938750065,1650938774161,1650938787259,1650938787786
