counter,start,storeDLT,storeKfrags,finish
0,1650938417366,1650938446478,1650938468706,1650938469009
1,1650938470739,1650938506116,1650938523688,1650938524299
2,1650938524430,1650938564955,1650938566729,1650938567123
3,1650938567906,1650938599053,1650938617895,1650938618307
4,1650938619174,1650938629675,1650938641545,1650938648096
5,1650938648320,1650938659897,1650938664415,1650938669277
6,1650938669648,1650938687836,1650938699812,1650938700125
7,1650938703285,1650938727462,1650938741193,1650938741695
8,1650938742987,1650938760026,1650938762688,1650938768220
9,1650938768526,1650938787476,1650938792583,1650938798453
