counter,start,storeDLT,storeKfrags,finish
0,1650930271362,1650930279218,1650930280878,1650930281624
1,1650930283146,1650930290957,1650930299678,1650930303920
2,1650930305455,1650930309573,1650930315081,1650930317164
3,1650930317909,1650930327693,1650930333774,1650930334172
4,1650930334532,1650930344428,1650930355960,1650930356207
5,1650930356435,1650930370243,1650930374436,1650930377701
6,1650930379706,1650930396619,1650930398552,1650930400688
7,1650930403906,1650930423723,1650930424377,1650930427558
8,1650930429078,1650930434456,1650930434929,1650930441541
9,1650930443854,1650930452601,1650930455888,1650930456612
