counter,start,storeDLT,storeKfrags,finish
0,1650935921005,1650935939011,1650935944688,1650935953656
1,1650935955048,1650935971899,1650935985827,1650936003225
2,1650936004340,1650936023637,1650936033734,1650936043492
3,1650936044599,1650936056800,1650936102717,1650936105697
4,1650936106320,1650936114740,1650936145724,1650936180514
5,1650936182932,1650936196321,1650936204943,1650936216810
6,1650936216930,1650936232935,1650936243446,1650936263003
7,1650936263461,1650936283346,1650936293944,1650936313035
8,1650936313196,1650936325087,1650936337391,1650936350365
9,1650936352254,1650936362363,1650936372783,1650936376009
