counter,start,storeDLT,storeKfrags,finish
0,1650930783176,1650930790714,1650930801395,1650930807961
1,1650930808111,1650930812724,1650930817166,1650930826631
2,1650930826684,1650930831359,1650930837240,1650930845640
3,1650930846202,1650930860691,1650930863219,1650930866936
4,1650930868396,1650930886137,1650930889014,1650930897228
5,1650930897952,1650930904645,1650930906687,1650930918242
6,1650930918386,1650930931268,1650930943484,1650930952436
7,1650930952562,1650930962669,1650930963159,1650930965927
8,1650930966037,1650930976692,1650930982795,1650930986450
9,1650930986622,1650930991672,1650930997276,1650931002927
