counter,start,storeDLT,storeKfrags,finish
0,1650930783307,1650930794313,1650930801640,1650930808530
1,1650930808722,1650930819119,1650930822556,1650930826375
2,1650930827677,1650930839797,1650930844935,1650930848524
3,1650930849213,1650930861221,1650930866485,1650930871447
4,1650930871891,1650930886515,1650930887179,1650930894511
5,1650930895043,1650930902386,1650930906628,1650930918821
6,1650930919640,1650930924404,1650930927022,1650930937055
7,1650930937299,1650930949429,1650930956188,1650930969530
8,1650930970013,1650930976053,1650930983730,1650930995172
9,1650930996070,1650931005658,1650931006256,1650931009666
