counter,start,storeDLT,storeKfrags,finish
0,1650930524512,1650930530671,1650930534212,1650930534865
1,1650930534960,1650930545597,1650930546640,1650930551733
2,1650930553478,1650930565107,1650930566772,1650930570670
3,1650930571167,1650930576614,1650930578017,1650930585779
4,1650930586946,1650930605981,1650930610360,1650930613613
5,1650930613634,1650930628379,1650930630280,1650930634174
6,1650930636008,1650930643914,1650930647141,1650930648568
7,1650930649333,1650930659145,1650930661804,1650930671656
8,1650930673001,1650930684200,1650930689002,1650930694273
9,1650930694718,1650930701828,1650930706824,1650930714558
