counter,start,storeDLT,storeKfrags,finish
0,1650929207243,1650929215414,1650929217108,1650929220488
1,1650929222010,1650929232127,1650929232641,1650929233107
2,1650929234464,1650929241689,1650929244901,1650929248124
3,1650929249219,1650929256117,1650929256703,1650929259587
4,1650929259778,1650929275094,1650929283962,1650929287603
5,1650929289349,1650929295924,1650929296545,1650929299815
6,1650929299924,1650929309653,1650929313064,1650929316026
7,1650929316223,1650929321813,1650929322407,1650929326960
8,1650929327761,1650929332725,1650929333242,1650929333697
9,1650929335269,1650929342384,1650929342973,1650929343524
