counter,start,storeDLT,storeKfrags,finish
0,1650935921933,1650935931402,1650935943950,1650935947367
1,1650935947876,1650935968078,1650935981322,1650935993888
2,1650935994193,1650936025198,1650936033749,1650936044224
3,1650936046775,1650936116918,1650936117707,1650936123191
4,1650936125169,1650936129433,1650936132408,1650936175916
5,1650936176226,1650936195429,1650936204779,1650936214712
6,1650936216991,1650936235768,1650936237413,1650936250906
7,1650936251138,1650936267760,1650936277136,1650936285829
8,1650936287841,1650936311994,1650936319966,1650936330604
9,1650936331247,1650936342835,1650936350369,1650936366303
