counter,start,storeDLT,storeKfrags,finish
0,1650935418158,1650935432682,1650935445370,1650935452026
1,1650935452435,1650935462299,1650935472771,1650935474244
2,1650935474508,1650935482242,1650935498761,1650935507110
3,1650935508184,1650935527990,1650935541657,1650935542122
4,1650935542351,1650935568222,1650935578485,1650935594159
5,1650935595961,1650935632809,1650935640686,1650935658363
6,1650935658729,1650935682208,1650935688475,1650935703232
7,1650935704025,1650935716966,1650935724575,1650935725084
8,1650935726316,1650935760724,1650935762384,1650935762898
9,1650935766228,1650935786712,1650935800851,1650935804265
