counter,start,storeDLT,storeKfrags,finish
0,1650935419150,1650935435267,1650935436108,1650935436744
1,1650935436904,1650935450369,1650935458485,1650935474986
2,1650935475126,1650935491065,1650935495867,1650935508782
3,1650935509688,1650935531885,1650935538129,1650935554453
4,1650935554976,1650935583813,1650935587197,1650935601741
5,1650935601751,1650935609996,1650935622557,1650935643289
6,1650935643301,1650935650634,1650935662802,1650935670624
7,1650935671458,1650935688566,1650935702699,1650935716728
8,1650935717875,1650935729735,1650935746498,1650935747094
9,1650935748708,1650935759793,1650935760440,1650935760987
