counter,start,storeDLT,storeKfrags,finish
0,1650928638250,1650928645543,1650928646090,1650928648940
1,1650928648971,1650928653267,1650928653899,1650928654505
2,1650928655832,1650928661986,1650928662582,1650928662842
3,1650928664239,1650928672661,1650928673152,1650928674396
4,1650928675880,1650928684201,1650928684725,1650928685244
5,1650928685256,1650928693444,1650928694024,1650928696781
6,1650928697764,1650928701220,1650928701745,1650928702180
7,1650928703149,1650928710043,1650928714687,1650928717097
8,1650928717458,1650928723740,1650928724319,1650928727882
9,1650928727960,1650928731919,1650928732434,1650928732821
