counter,start,storeDLT,storeKfrags,finish
0,1650934935627,1650934958657,1650934964455,1650934964935
1,1650934966413,1650934975626,1650934999491,1650934999754
2,1650935001042,1650935029954,1650935041436,1650935052024
3,1650935052900,1650935060352,1650935067326,1650935067886
4,1650935070472,1650935075247,1650935077790,1650935079283
5,1650935080203,1650935086036,1650935086578,1650935089446
6,1650935089714,1650935128944,1650935129509,1650935129771
7,1650935130970,1650935141044,1650935154043,1650935158379
8,1650935160250,1650935178606,1650935182737,1650935188342
9,1650935188390,1650935197416,1650935217980,1650935218352
