counter,start,storeDLT,storeKfrags,finish
0,1650939680364,1650939710918,1650939714720,1650939735605
1,1650939736679,1650939769819,1650939791932,1650939811095
2,1650939811603,1650939833510,1650939851331,1650939881549
3,1650939881804,1650939917398,1650939944407,1650939962940
4,1650939963260,1650940005649,1650940018785,1650940029506
5,1650940030540,1650940043331,1650940050724,1650940062882
6,1650940064473,1650940094321,1650940126179,1650940137238
7,1650940137775,1650940164174,1650940175951,1650940199608
8,1650940200363,1650940230217,1650940242995,1650940252398
9,1650940252539,1650940279506,1650940289186,1650940297477
