counter,start,storeDLT,storeKfrags,finish
0,1650939681128,1650939711019,1650939722917,1650939726785
1,1650939726791,1650939768472,1650939771797,1650939779416
2,1650939780022,1650939805864,1650939830215,1650939833506
3,1650939835792,1650939893428,1650939922288,1650939925877
4,1650939930369,1650939941461,1650939959568,1650939968393
5,1650939968656,1650939976492,1650939999092,1650940022452
6,1650940023133,1650940036874,1650940062808,1650940075889
7,1650940075967,1650940115963,1650940128746,1650940160284
8,1650940163049,1650940166846,1650940176052,1650940186077
9,1650940187988,1650940210543,1650940211088,1650940236265
