counter,start,storeDLT,storeKfrags,finish
0,1650939680531,1650939710945,1650939725661,1650939751562
1,1650939752020,1650939778910,1650939782288,1650939788645
2,1650939789373,1650939842121,1650939845080,1650939852225
3,1650939852405,1650939915436,1650939933962,1650939954135
4,1650939954647,1650939971341,1650939976567,1650939982315
5,1650939985148,1650939992023,1650939992738,1650939996424
6,1650939996522,1650940037721,1650940045572,1650940055132
7,1650940055824,1650940078152,1650940086149,1650940099351
8,1650940102052,1650940127709,1650940156408,1650940161325
9,1650940162001,1650940169306,1650940171740,1650940195188
