counter,start,storeDLT,storeKfrags,finish
0,1650939680699,1650939703550,1650939705802,1650939725348
1,1650939725697,1650939746478,1650939769893,1650939775443
2,1650939776671,1650939805661,1650939810342,1650939833526
3,1650939834899,1650939854891,1650939887593,1650939895972
4,1650939896118,1650939911149,1650939916658,1650939937694
5,1650939937898,1650939962942,1650939980923,1650940002593
6,1650940003997,1650940032899,1650940056761,1650940081928
7,1650940082743,1650940095446,1650940110911,1650940141322
8,1650940141673,1650940167676,1650940169177,1650940190293
9,1650940191284,1650940215460,1650940234015,1650940245769
