counter,start,storeDLT,storeKfrags,finish
0,1650937087487,1650937095036,1650937123491,1650937125274
1,1650937128466,1650937159653,1650937179605,1650937180135
2,1650937180332,1650937194888,1650937212077,1650937220277
3,1650937221173,1650937243516,1650937261143,1650937266491
4,1650937267859,1650937277022,1650937289586,1650937298083
5,1650937298208,1650937315719,1650937335163,1650937357800
6,1650937358725,1650937378388,1650937394134,1650937394853
7,1650937395538,1650937410535,1650937418927,1650937429260
8,1650937430341,1650937446078,1650937452521,1650937460199
9,1650937460963,1650937491868,1650937505459,1650937518057
