counter,start,storeDLT,storeKfrags,finish
0,1650937086712,1650937108235,1650937114582,1650937122158
1,1650937122185,1650937150146,1650937172051,1650937176545
2,1650937177092,1650937206372,1650937214251,1650937223650
3,1650937224722,1650937235533,1650937258173,1650937261248
4,1650937261306,1650937273928,1650937287361,1650937287947
5,1650937288225,1650937318809,1650937328333,1650937331682
6,1650937332735,1650937364250,1650937378382,1650937378981
7,1650937379668,1650937384610,1650937397449,1650937398541
8,1650937402104,1650937426188,1650937442177,1650937449238
9,1650937449630,1650937476686,1650937490843,1650937508836
