counter,start,storeDLT,storeKfrags,finish
0,1650937087597,1650937114100,1650937114889,1650937122876
1,1650937124132,1650937155665,1650937162116,1650937184419
2,1650937186609,1650937214134,1650937220287,1650937222342
3,1650937222463,1650937232459,1650937235548,1650937240636
4,1650937241562,1650937261150,1650937276078,1650937291745
5,1650937292984,1650937319928,1650937325432,1650937335164
6,1650937336845,1650937358001,1650937370604,1650937387069
7,1650937387977,1650937415342,1650937428975,1650937444731
8,1650937445264,1650937491867,1650937505458,1650937516197
9,1650937516308,1650937528180,1650937532178,1650937534938
