counter,start,storeDLT,storeKfrags,finish
0,1650931434587,1650931444216,1650931457421,1650931461309
1,1650931462197,1650931473602,1650931474354,1650931474862
2,1650931475086,1650931491832,1650931492576,1650931503909
3,1650931504268,1650931532176,1650931535864,1650931536515
4,1650931536966,1650931545732,1650931549916,1650931564124
5,1650931564651,1650931571915,1650931577546,1650931580017
6,1650931581122,1650931590952,1650931595264,1650931600990
7,1650931601630,1650931613183,1650931616244,1650931616964
8,1650931617667,1650931628237,1650931632425,1650931632969
9,1650931633619,1650931640323,1650931647475,1650931650550
