counter,start,storeDLT,storeKfrags,finish
0,1650931430964,1650931438703,1650931446083,1650931446585
1,1650931447274,1650931452502,1650931454660,1650931458144
2,1650931460506,1650931475794,1650931478829,1650931481994
3,1650931483354,1650931497600,1650931504116,1650931518479
4,1650931518635,1650931527176,1650931530373,1650931543748
5,1650931544240,1650931549893,1650931561199,1650931571913
6,1650931571972,1650931582767,1650931585318,1650931585933
7,1650931587461,1650931603988,1650931612052,1650931612803
8,1650931613103,1650931621886,1650931624852,1650931625364
9,1650931626402,1650931647484,1650931652798,1650931658541
