counter,start,storeDLT,storeKfrags,finish
0,1650931431838,1650931438985,1650931440838,1650931446500
1,1650931447294,1650931455003,1650931455577,1650931456120
2,1650931457160,1650931467581,1650931472004,1650931480998
3,1650931482996,1650931495209,1650931501261,1650931508108
4,1650931508526,1650931522979,1650931528394,1650931531397
5,1650931531697,1650931541191,1650931545708,1650931550710
6,1650931550827,1650931569447,1650931577544,1650931590035
7,1650931590743,1650931604069,1650931606625,1650931618295
8,1650931619342,1650931636965,1650931639607,1650931645340
9,1650931649959,1650931658723,1650931664178,1650931668520
