counter,start,storeDLT,storeKfrags,finish
0,1650931432261,1650931444725,1650931445442,1650931449024
1,1650931450176,1650931457832,1650931461209,1650931467560
2,1650931468379,1650931476164,1650931476881,1650931485888
3,1650931486781,1650931490626,1650931495540,1650931500222
4,1650931500459,1650931507640,1650931516821,1650931518668
5,1650931519924,1650931530355,1650931533128,1650931535763
6,1650931537197,1650931545699,1650931548045,1650931554506
7,1650931556437,1650931574386,1650931578770,1650931582762
8,1650931583026,1650931595270,1650931598325,1650931610130
9,1650931611610,1650931619111,1650931622400,1650931631201
