counter,start,storeDLT,storeKfrags,finish
0,1650931431705,1650931444413,1650931457630,1650931460893
1,1650931461396,1650931473224,1650931480057,1650931480676
2,1650931481375,1650931492183,1650931497462,1650931498059
3,1650931498774,1650931508338,1650931515585,1650931524428
4,1650931524737,1650931536274,1650931538328,1650931546721
5,1650931547578,1650931554086,1650931558499,1650931572205
6,1650931572243,1650931587100,1650931591156,1650931595151
7,1650931596430,1650931599454,1650931606528,1650931615155
8,1650931615161,1650931628541,1650931638782,1650931645430
9,1650931645770,1650931655592,1650931656802,1650931659765
