counter,start,storeDLT,storeKfrags,finish
0,1650930523053,1650930530796,1650930534436,1650930537534
1,1650930537610,1650930551023,1650930553949,1650930554428
2,1650930557237,1650930573707,1650930576538,1650930577047
3,1650930577239,1650930589467,1650930599114,1650930603228
4,1650930603559,1650930611605,1650930613780,1650930619252
5,1650930620016,1650930635031,1650930641300,1650930641813
6,1650930644177,1650930659038,1650930659645,1650930664880
7,1650930665001,1650930671841,1650930673525,1650930684161
8,1650930684268,1650930694380,1650930699222,1650930699735
9,1650930700337,1650930712142,1650930714717,1650930717701
