counter,start,storeDLT,storeKfrags,finish
0,1650934936595,1650934964993,1650934976426,1650934976898
1,1650934976987,1650934987966,1650935008635,1650935009321
2,1650935009847,1650935018019,1650935038288,1650935051632
3,1650935051683,1650935071840,1650935075625,1650935083790
4,1650935083851,1650935109264,1650935128754,1650935130568
5,1650935131300,1650935142263,1650935146516,1650935168304
6,1650935169869,1650935183516,1650935188521,1650935204200
7,1650935207968,1650935225416,1650935225975,1650935226250
8,1650935227218,1650935246687,1650935258198,1650935258478
9,1650935260411,1650935268522,1650935276122,1650935276516
