counter,start,storeDLT,storeKfrags,finish
0,1650934936740,1650934958604,1650934959679,1650934960738
1,1650934960889,1650934974721,1650934980320,1650934983765
2,1650934983779,1650934992627,1650935009673,1650935017846
3,1650935018653,1650935026940,1650935034145,1650935036970
4,1650935038885,1650935056270,1650935065234,1650935074369
5,1650935075706,1650935084049,1650935101715,1650935104886
6,1650935108983,1650935135810,1650935161529,1650935162012
7,1650935163602,1650935178549,1650935185480,1650935185773
8,1650935186306,1650935204376,1650935214146,1650935234013
9,1650935234213,1650935251139,1650935260975,1650935261455
