counter,start,storeDLT,storeKfrags,finish
0,1650938418677,1650938451904,1650938459382,1650938460295
1,1650938460402,1650938486314,1650938506806,1650938507813
2,1650938508305,1650938523688,1650938535780,1650938538960
3,1650938543453,1650938557282,1650938573141,1650938573847
4,1650938574964,1650938582263,1650938593829,1650938597962
5,1650938597993,1650938602357,1650938613510,1650938620045
6,1650938620081,1650938660288,1650938669275,1650938669538
7,1650938670054,1650938712742,1650938728116,1650938745808
8,1650938746341,1650938749681,1650938768111,1650938778868
9,1650938780359,1650938794949,1650938796174,1650938801903
