counter,start,storeDLT,storeKfrags,finish
0,1650938418709,1650938454385,1650938469423,1650938469718
1,1650938471167,1650938510686,1650938512865,1650938521642
2,1650938522184,1650938530575,1650938547358,1650938548055
3,1650938548158,1650938573045,1650938582462,1650938596321
4,1650938596648,1650938602333,1650938613505,1650938628028
5,1650938628507,1650938637256,1650938647281,1650938647797
6,1650938648896,1650938664486,1650938692358,1650938694902
7,1650938696530,1650938718043,1650938732176,1650938739238
8,1650938740087,1650938755825,1650938772830,1650938775925
9,1650938777096,1650938786853,1650938789320,1650938789825
