counter,start,storeDLT,storeKfrags,finish
0,1650938418152,1650938453745,1650938454784,1650938455430
1,1650938455803,1650938464296,1650938468620,1650938469821
2,1650938470202,1650938506389,1650938515187,1650938534637
3,1650938535181,1650938545806,1650938564854,1650938565087
4,1650938568055,1650938588924,1650938611133,1650938616049
5,1650938617448,1650938647283,1650938686433,1650938707411
6,1650938710016,1650938756037,1650938761354,1650938772830
7,1650938774441,1650938787478,1650938792484,1650938799508
8,1650938801951,1650938815832,1650938816449,1650938819211
9,1650938819447,1650938823430,1650938823919,1650938824440
