counter,start,storeDLT,storeKfrags,finish
0,1650932163996,1650932177939,1650932180032,1650932180670
1,1650932182815,1650932191655,1650932206356,1650932220909
2,1650932221055,1650932244711,1650932252636,1650932257044
3,1650932258063,1650932278968,1650932284864,1650932285261
4,1650932286152,1650932298689,1650932309448,1650932316143
5,1650932316264,1650932324714,1650932331456,1650932332733
6,1650932334622,1650932352789,1650932364097,1650932384026
7,1650932384442,1650932394363,1650932397058,1650932397325
8,1650932397415,1650932401656,1650932405543,1650932406129
9,1650932408098,1650932417519,1650932423664,1650932424006
