counter,start,storeDLT,storeKfrags,finish
0,1650932165009,1650932185694,1650932191762,1650932194868
1,1650932195577,1650932203477,1650932214033,1650932223442
2,1650932223811,1650932229069,1650932250263,1650932250864
3,1650932251897,1650932264293,1650932270935,1650932278819
4,1650932279099,1650932286698,1650932292666,1650932298565
5,1650932299348,1650932312178,1650932318930,1650932319178
6,1650932319422,1650932338029,1650932345953,1650932346419
7,1650932346833,1650932381054,1650932381742,1650932382378
8,1650932382702,1650932391626,1650932393684,1650932394054
9,1650932395573,1650932412603,1650932423275,1650932423551
