counter,start,storeDLT,storeKfrags,finish
0,1650932934755,1650932949648,1650932956323,1650932964514
1,1650932964545,1650932987728,1650932995746,1650933002470
2,1650933002502,1650933020115,1650933034148,1650933037498
3,1650933038368,1650933049509,1650933052902,1650933061176
4,1650933061699,1650933081107,1650933089735,1650933093309
5,1650933093395,1650933107149,1650933109720,1650933117266
6,1650933119347,1650933126187,1650933154881,1650933159112
7,1650933160616,1650933177067,1650933188780,1650933192657
8,1650933193861,1650933212430,1650933228590,1650933231508
9,1650933232103,1650933249098,1650933249907,1650933261442
