counter,start,storeDLT,storeKfrags,finish
0,1650932934327,1650932949315,1650932951261,1650932954664
1,1650932957559,1650932970608,1650932980892,1650932984239
2,1650932984365,1650933005037,1650933012000,1650933028380
3,1650933029976,1650933049286,1650933049986,1650933059410
4,1650933059847,1650933081585,1650933084920,1650933088243
5,1650933088431,1650933103552,1650933137880,1650933143792
6,1650933144950,1650933161916,1650933167134,1650933174520
7,1650933175743,1650933181376,1650933188943,1650933199628
8,1650933201390,1650933206365,1650933209224,1650933212030
9,1650933213207,1650933237284,1650933258576,1650933265107
