counter,start,storeDLT,storeKfrags,finish
0,1650932935047,1650932958028,1650932969972,1650932990593
1,1650932990727,1650933000529,1650933009471,1650933015182
2,1650933015709,1650933037508,1650933049275,1650933056240
3,1650933056625,1650933064370,1650933077035,1650933089646
4,1650933089716,1650933099579,1650933109023,1650933114655
5,1650933115660,1650933125919,1650933126894,1650933129685
6,1650933129762,1650933137369,1650933158122,1650933162047
7,1650933163287,1650933174714,1650933186216,1650933196287
8,1650933196487,1650933220417,1650933228618,1650933245720
9,1650933245947,1650933262157,1650933270552,1650933277823
