counter,start,storeDLT,storeKfrags,finish
0,1650934353914,1650934372670,1650934373257,1650934380993
1,1650934382569,1650934392481,1650934401867,1650934408294
2,1650934408332,1650934431699,1650934449165,1650934461891
3,1650934462197,1650934488372,1650934489597,1650934500912
4,1650934501023,1650934548659,1650934583250,1650934607974
5,1650934608280,1650934647230,1650934647709,1650934686613
6,1650934687145,1650934696743,1650934698777,1650934711669
7,1650934712110,1650934737122,1650934754318,1650934773403
8,1650934774036,1650934793479,1650934794870,1650934799000
9,1650934799226,1650934807711,1650934810142,1650934812929
