counter,start,storeDLT,storeKfrags,finish
0,1650934353424,1650934377512,1650934384681,1650934408538
1,1650934409001,1650934421940,1650934443555,1650934458870
2,1650934460222,1650934488383,1650934504319,1650934512775
3,1650934513980,1650934525347,1650934528559,1650934532050
4,1650934537512,1650934550960,1650934553609,1650934557739
5,1650934558628,1650934594331,1650934615791,1650934623640
6,1650934623943,1650934693782,1650934698825,1650934701754
7,1650934702159,1650934733266,1650934752435,1650934770929
8,1650934774155,1650934782693,1650934783165,1650934786001
9,1650934786190,1650934801874,1650934802368,1650934805272
