counter,start,storeDLT,storeKfrags,finish
0,1650929793803,1650929804763,1650929807395,1650929810575
1,1650929811072,1650929821638,1650929822128,1650929828650
2,1650929829426,1650929833546,1650929835887,1650929840739
3,1650929841973,1650929851373,1650929853321,1650929856465
4,1650929857761,1650929864104,1650929864849,1650929868092
5,1650929868654,1650929877437,1650929886555,1650929892600
6,1650929892720,1650929903194,1650929903747,1650929904303
7,1650929904673,1650929913478,1650929914135,1650929922242
8,1650929926599,1650929935108,1650929936971,1650929937454
9,1650929941382,1650929951647,1650929952271,1650929952765
