counter,start,storeDLT,storeKfrags,finish
0,1650932934894,1650932961931,1650932971896,1650932980175
1,1650932981313,1650932997761,1650933011081,1650933020820
2,1650933021297,1650933039569,1650933053090,1650933064638
3,1650933067252,1650933080107,1650933090568,1650933137167
4,1650933139015,1650933158989,1650933161921,1650933165124
5,1650933165603,1650933178503,1650933190266,1650933202083
6,1650933202440,1650933221412,1650933228723,1650933245777
7,1650933247185,1650933269839,1650933274659,1650933289399
8,1650933289841,1650933293392,1650933294107,1650933298231
9,1650933298347,1650933306304,1650933313069,1650933315944
