counter,start,storeDLT,storeKfrags,finish
0,1650932934580,1650932949152,1650932955936,1650932964864
1,1650932965357,1650932977043,1650932992127,1650932996490
2,1650932997080,1650933020125,1650933033708,1650933045816
3,1650933046858,1650933063207,1650933070612,1650933082990
4,1650933085146,1650933096814,1650933103474,1650933137812
5,1650933142397,1650933153072,1650933162056,1650933166829
6,1650933167083,1650933178508,1650933185586,1650933193293
7,1650933193957,1650933218463,1650933234023,1650933242608
8,1650933242991,1650933261468,1650933270459,1650933285505
9,1650933285877,1650933301997,1650933303627,1650933306423
