counter,start,storeDLT,storeKfrags,finish
0,1650937683365,1650937703153,1650937707859,1650937721581
1,1650937722958,1650937761260,1650937766676,1650937773411
2,1650937773892,1650937795851,1650937807400,1650937831498
3,1650937831674,1650937864740,1650937874982,1650937885366
4,1650937887639,1650937894536,1650937918291,1650937937883
5,1650937937899,1650937945331,1650937980043,1650938013038
6,1650938014204,1650938022742,1650938023353,1650938036391
7,1650938037158,1650938075809,1650938094932,1650938106401
8,1650938107600,1650938155354,1650938164158,1650938175424
9,1650938175783,1650938196415,1650938203583,1650938224081
