counter,start,storeDLT,storeKfrags,finish
0,1650930272705,1650930287640,1650930290690,1650930290967
1,1650930291103,1650930296066,1650930301217,1650930305237
2,1650930305400,1650930315357,1650930324238,1650930324744
3,1650930326016,1650930340235,1650930347177,1650930347686
4,1650930348406,1650930355956,1650930358330,1650930358979
5,1650930359108,1650930372344,1650930375314,1650930378717
6,1650930378795,1650930393591,1650930394070,1650930396284
7,1650930398286,1650930411143,1650930411761,1650930412224
8,1650930415175,1650930420622,1650930429722,1650930430066
9,1650930430568,1650930444983,1650930445464,1650930445875
