counter,start,storeDLT,storeKfrags,finish
0,1650933449157,1650933471184,1650933475340,1650933475665
1,1650933476186,1650933505055,1650933511838,1650933526094
2,1650933526128,1650933533873,1650933544185,1650933552877
3,1650933553345,1650933566039,1650933569977,1650933575614
4,1650933576680,1650933593949,1650933600830,1650933612987
5,1650933614542,1650933628275,1650933632054,1650933638810
6,1650933639354,1650933652725,1650933656615,1650933659487
7,1650933663484,1650933675256,1650933687643,1650933688156
8,1650933688591,1650933695679,1650933706137,1650933720128
9,1650933720677,1650933730003,1650933730865,1650933731322
