counter,start,storeDLT,storeKfrags,finish
0,1650933445763,1650933473724,1650933474270,1650933474763
1,1650933475650,1650933487037,1650933505361,1650933518162
2,1650933519026,1650933547694,1650933558303,1650933563630
3,1650933564215,1650933571003,1650933575612,1650933577453
4,1650933578478,1650933594056,1650933600836,1650933603159
5,1650933603924,1650933628661,1650933629209,1650933642385
6,1650933642830,1650933665426,1650933668302,1650933674167
7,1650933674258,1650933687951,1650933694211,1650933694619
8,1650933695610,1650933720140,1650933727168,1650933730220
9,1650933730443,1650933736205,1650933737583,1650933737823
