counter,start,storeDLT,storeKfrags,finish
0,1650939680339,1650939701496,1650939707767,1650939710829
1,1650939712830,1650939735799,1650939768264,1650939794571
2,1650939795141,1650939821623,1650939824725,1650939827750
3,1650939827861,1650939835471,1650939853792,1650939874473
4,1650939875890,1650939892496,1650939919126,1650939943902
5,1650939944949,1650939975768,1650939999415,1650940009161
6,1650940010260,1650940038305,1650940045611,1650940070665
7,1650940071684,1650940092698,1650940107230,1650940124551
8,1650940124603,1650940161396,1650940175737,1650940179124
9,1650940182333,1650940207572,1650940211268,1650940235467
