counter,start,storeDLT,storeKfrags,finish
0,1650939680952,1650939703096,1650939711567,1650939727192
1,1650939727869,1650939768267,1650939788846,1650939808497
2,1650939810657,1650939841891,1650939862669,1650939893430
3,1650939894559,1650939933897,1650939938279,1650939954553
4,1650939955930,1650939993590,1650939996641,1650940001853
5,1650940002364,1650940016920,1650940031857,1650940052263
6,1650940052485,1650940072848,1650940101935,1650940117568
7,1650940118301,1650940152176,1650940181278,1650940190164
8,1650940191020,1650940215170,1650940233992,1650940239659
9,1650940240937,1650940268098,1650940272117,1650940282427
