counter,start,storeDLT,storeKfrags,finish
0,1650939680607,1650939703497,1650939724940,1650939744115
1,1650939748255,1650939755253,1650939756078,1650939778805
2,1650939779205,1650939805637,1650939821611,1650939843421
3,1650939844491,1650939869994,1650939875803,1650939890045
4,1650939890238,1650939924130,1650939926389,1650939951166
5,1650939952440,1650939993493,1650939999747,1650940018670
6,1650940021040,1650940052265,1650940061246,1650940075277
7,1650940075499,1650940088585,1650940095449,1650940114221
8,1650940115404,1650940129854,1650940137328,1650940161395
9,1650940161767,1650940175950,1650940199498,1650940223877
