counter,start,storeDLT,storeKfrags,finish
0,1650939681066,1650939703665,1650939708862,1650939714802
1,1650939715100,1650939726787,1650939730372,1650939758019
2,1650939759423,1650939771865,1650939778698,1650939797953
3,1650939798639,1650939810450,1650939826119,1650939830425
4,1650939830646,1650939878379,1650939899154,1650939910622
5,1650939914062,1650939921165,1650939948405,1650939974001
6,1650939975997,1650940002778,1650940032369,1650940058109
7,1650940058968,1650940089409,1650940095453,1650940129172
8,1650940130470,1650940154023,1650940157601,1650940173605
9,1650940174511,1650940194466,1650940210660,1650940234195
