counter,start,storeDLT,storeKfrags,finish
0,1650939681554,1650939726786,1650939751588,1650939780686
1,1650939781140,1650939810449,1650939832164,1650939835534
2,1650939836803,1650939841625,1650939858368,1650939877366
3,1650939878256,1650939893009,1650939922194,1650939952087
4,1650939952257,1650939982317,1650940002610,1650940014580
5,1650940016813,1650940036071,1650940059711,1650940089407
6,1650940090732,1650940104875,1650940117787,1650940144700
7,1650940144855,1650940181279,1650940196776,1650940219272
8,1650940220494,1650940236958,1650940250579,1650940259197
9,1650940259583,1650940272186,1650940283245,1650940289080
