counter,start,storeDLT,storeKfrags,finish
0,1650938991295,1650939022023,1650939036644,1650939054320
1,1650939054688,1650939080337,1650939086680,1650939117200
2,1650939117293,1650939156041,1650939169011,1650939173848
3,1650939175361,1650939186442,1650939190418,1650939214710
4,1650939216220,1650939236602,1650939239370,1650939242838
5,1650939245199,1650939282061,1650939313494,1650939329473
6,1650939329819,1650939359183,1650939377005,1650939379652
7,1650939380696,1650939393880,1650939409768,1650939424192
8,1650939424418,1650939440269,1650939440991,1650939441495
9,1650939442173,1650939469674,1650939470827,1650939487763
