counter,start,storeDLT,storeKfrags,finish
0,1650938986315,1650939002014,1650939021577,1650939022024
1,1650939023713,1650939042656,1650939056573,1650939076564
2,1650939076761,1650939085141,1650939114034,1650939117421
3,1650939119528,1650939182767,1650939183478,1650939188568
4,1650939189268,1650939196678,1650939199637,1650939200240
5,1650939202113,1650939225637,1650939240052,1650939243045
6,1650939244443,1650939279910,1650939284448,1650939297368
7,1650939299462,1650939319161,1650939336259,1650939347186
8,1650939347284,1650939369407,1650939386107,1650939393062
9,1650939394258,1650939417123,1650939422786,1650939450705
