counter,start,storeDLT,storeKfrags,finish
0,1650938986606,1650939002342,1650939012144,1650939022764
1,1650939022783,1650939049609,1650939068961,1650939088216
2,1650939090417,1650939119963,1650939125395,1650939161124
3,1650939162577,1650939194814,1650939206794,1650939225432
4,1650939226098,1650939279911,1650939284549,1650939288409
5,1650939288966,1650939342704,1650939350168,1650939352640
6,1650939356424,1650939386112,1650939403616,1650939420028
7,1650939420172,1650939428007,1650939430547,1650939431151
8,1650939432013,1650939446337,1650939453202,1650939463103
9,1650939464630,1650939469278,1650939469862,1650939470684
