counter,start,storeDLT,storeKfrags,finish
0,1650934352112,1650934361094,1650934377243,1650934383267
1,1650934383839,1650934402041,1650934405480,1650934414105
2,1650934414336,1650934421989,1650934443601,1650934458558
3,1650934461468,1650934476594,1650934483196,1650934491190
4,1650934491336,1650934504009,1650934507510,1650934536538
5,1650934537326,1650934577692,1650934600700,1650934632814
6,1650934633486,1650934643018,1650934647609,1650934650752
7,1650934651242,1650934654955,1650934655601,1650934659885
8,1650934660314,1650934663585,1650934692428,1650934727638
9,1650934728181,1650934752290,1650934752838,1650934755728
